home_win_count,away_win_count,h2h_home_win_count,h2h_away_win_count,home_mean_goals_scored,home_mean_goals_conceded,home_std_goals_scored,home_std_goals_conceded,away_mean_goals_scored,away_mean_goals_conceded,away_std_goals_scored,away_std_goals_conceded,h2h_home_mean_goals,h2h_away_mean_goals,h2h_home_std_goals,h2h_team_std_goals,home_rank - away_rank,home_rank_change,away_rank_change,home_team_opposition_rank_diff,away_team_opposition_rank_diff,is_friendly,is_qualifier,is_tournament,home_match_for_home_team,home_team_win,draw,away_team_win
2.0,2.0,0.0,1.0,1.9,1.6,2.5475478405713994,0.8,2.25,2.0,1.6393596310755,1.7320508075688772,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3.0,4.0,1.0,2.0,1.3,3.8,1.3453624047073711,2.785677655436824,1.3,2.1,1.1874342087037917,1.5132745950421556,2.0,5.333333333333333,2.160246899469287,1.8856180831641267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2.0,4.0,1.0,0.0,2.6,1.7,1.3564659966250538,0.7810249675906654,1.5,3.6,1.2041594578792296,3.6932370625238775,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
5.0,5.0,1.0,0.0,1.9,1.9,1.044030650891055,1.7578395831246947,1.3,4.0,1.0999999999999999,3.714835124201342,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
4.0,2.0,6.0,6.0,1.7,3.7,1.0999999999999999,2.685144316419511,2.2,1.7,2.7129319932501073,0.7810249675906655,1.9333333333333333,2.2,0.9285592184789413,2.1354156504062622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5.0,4.0,5.0,6.0,3.2,1.9,2.3151673805580453,1.5132745950421558,2.2,2.4,1.4000000000000001,1.562049935181331,2.0,2.0,1.4142135623730951,0.9534625892455924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
8.0,5.0,0.0,0.0,2.7,2.1,1.4177446878757824,1.8138357147217055,2.9,2.0,1.8681541692269403,1.7888543819998317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
6.0,6.0,0.0,0.0,1.7,0.8,1.1874342087037917,0.6,3.2,1.3,2.3151673805580453,1.004987562112089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
3.0,4.0,3.0,0.0,3.1,1.6,1.57797338380595,0.8,2.1,1.9,1.9723082923316022,1.5132745950421556,4.0,0.3333333333333333,0.0,0.4714045207910317,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
3.0,5.0,3.0,1.0,1.9,3.8,0.9433981132056604,2.6758176320519302,3.0,1.5,2.898275349237888,1.02469507659596,3.0,2.75,1.8708286933869707,3.112474899497183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
6.0,6.0,0.0,0.0,2.6,1.6,1.1135528725660042,1.2,3.8,1.1,3.919183588453085,2.022374841615669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
5.0,6.0,2.0,0.0,1.8,1.5,1.16619037896906,0.806225774829855,3.0,1.8,2.32379000772445,1.5362291495737217,5.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4.0,6.0,0.0,0.0,3.125,1.5,3.4072532926097527,1.5811388300841898,2.2,2.1,1.1661903789690602,1.6401219466856727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
5.0,5.0,0.0,0.0,2.8,1.2,1.2489995996796797,1.2489995996796797,3.2,2.1,1.7776388834631178,1.7578395831246945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2.0,3.0,3.0,6.0,2.9,2.0,2.6248809496813372,1.2649110640673518,1.3,2.5,1.268857754044952,1.3601470508735443,2.0,2.6666666666666665,1.699673171197595,1.8257418583505538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
4.0,5.0,5.0,4.0,3.3,1.7,1.4177446878757827,0.7810249675906654,2.4,1.8,1.2806248474865698,1.32664991614216,3.066666666666667,2.066666666666667,2.1746008573733455,1.3888444437333107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5.0,3.0,3.0,1.0,2.0,1.4,1.0,0.8,1.6,2.4,1.2806248474865698,1.3564659966250538,4.25,2.25,2.165063509461097,1.920286436967152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
